🇨🇳［央视］,#genre#
直播台,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8


CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV1综合,http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1综合,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8
CCTV1综合,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/2300.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%ABCCTV1
CCTV1综合,http://39.134.115.163:8080/TVOD/88888910/224/3221225642/index.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%ABCCTV1
CCTV1综合,http://39.134.115.163:8080/TVOD/88888910/224/3221225618/index.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%ABCCTV1
CCTV1综合,http://39.135.138.59:18890/TVOD/88888910/224/3221225642/index.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%ABCCTV1
CCTV1综合,http://39.134.115.163:8080/TVOD/88888910/224/3221225642/index.m3u8?%E5%BE%AE%E4%BF%A1%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E6%99%B4%E5%9B%AD%E3%80%91%E6%95%B4%E7%90%86%E5%88%86%E4%BA%AB
